nivel,verbo,traducao_verbo,tempo,frase_lacuna,frase_completa,traducao_frase,resposta_certa,opcao_errada_1,opcao_errada_2,opcao_errada_3
B2,acquérir,adquirir,Présent,Elle ................ de l'expérience,Elle acquiert de l'expérience,Ela adquire experiência,ACQUIERT,ACQUIRE,ACQUIERA,ACQUIERS
B2,convaincre,convencer,Passé composé,Tu m'................,Tu m'as convaincu,Você me convenceu,AS CONVAINCU,AS CONVAINQUÉ,CONVAINCS,CONVAINCRAIS
B2,feindre,fingir,Imparfait,Il ................ de ne pas comprendre,Il feignait de ne pas comprendre,Ele fingia não entender,FEIGNAIT,FEINDRAIT,FEIGNAIENT,FEIGNAIS
B2,paraître,parecer,Présent,Ce livre ................ demain,Ce livre paraît demain,Este livro sai amanhã,PARAÎT,PARAIENT,PARRAÎT,PARAISSE
B2,valoir,valer,Conditionnel,Mieux ................ partir maintenant,Mieux vaudrait partir maintenant,Seria melhor partir agora,VAUDRAIT,VAUT,VAUDRA,VALAIT
B2,plaire,agradar,Subjonctif,Il faut que cela leur ................,Il faut que cela leur plaise,É preciso que isso lhes agrade,PLAISE,PLAÎT,PLAISENT,PLAIRA
B2,fuir,fugir,Passé composé,Les voleurs ................,Les voleurs ont fui,Os ladrões fugiram,ONT FUI,SONT FUIS,SONT FUIT,ONT FUIT
B2,détruire,destruir,Imparfait,Le feu ................ la forêt,Le feu détruisait la forêt,O fogo destruía a floresta,DÉTRUISAIT,DÉTRUIRAIT,DÉTRUISAIENT,DÉTRUIT
B2,joindre,juntar/anexar,Présent,Je ................ un document,Je joins un document,Eu anexo um documento,JOINS,JOINT,JOIGNONS,JOINDRONS
A1,écouter,escutar/ouvir,Présent,Nous ................ de la musique,Nous écoutons de la musique,Nós escutamos música,ÉCOUTONS,ÉCOUTE,ÉCOUTEZ,ÉCOUTENT
A2,vendre,vender,Présent,Ils ................ leur voiture,Ils vendent leur voiture,Eles vendem o carro deles,VENDENT,VENDS,VEND,VENDEZ
B1,produire,produzir,Passé composé,Cette usine ................ beaucoup de voitures,Cette usine a produit beaucoup de voitures,Esta fábrica produziu muitos carros,A PRODUIT,A PRODUI,EST PRODUIT,ONT PRODUIT
A1,regarder,olhar/assistir,Présent,Je ................ la télévision le soir,Je regarde la télévision le soir,Eu assisto à televisão à noite,REGARDE,REGARDES,REGARDEZ,REGARDONS
A1,acheter,comprar,Présent,Tu ................ du pain e chaque matin,Tu achètes du pain chaque matin,Tu compras pão todas as manhãs,ACHÈTES,ACHETES,ACHÈTE,ACHETEZ
A1,adorer,adorar,Présent,On ................ voyager en France,On adore voyager en France,A gente adora viajar para a França,ADORE,ADORES,ADOREZ,ADORONS
A1,habiter,morar/habitar,Présent,Où ................-vous ?,Où habitez-vous ?,Onde é que o senhor mora?,HABITEZ,HABITE,HABITES,HABITENT
A1,chercher,procurar,Présent,Ils ................ leurs clés,Ils cherchent leurs clés,Eles procuram as suas chaves,CHERCHENT,CHERCHE,CHERCHES,CHERCHEZ
A1,payer,pagar,Présent,Nous ................ par carte bancaire,Nous payons par carte bancaire,Nós pagamos com cartão bancário,PAYONS,PAYES,PAYENT,PAYEZ
A1,comprendre,compreender,Présent,Vous ................ la leçon ?,Vous comprenez la leçon ?,Os senhores compreendem a lição?,COMPRENEZ,COMPRENDS,COMPREND,COMPRENNENT
A2,apprendre,aprender,Passé composé,J'................ le français à l'école,J'ai appris le français à l'école,Eu aprendi francês na escola,AI APPRIS,AI APPRENDU,SUIS APPRIS,AVAIENT APPRIS
A2,choisir,escolher,Présent,Elle ................ une belle robe,Elle choisit une belle robe,Ela escolhe um vestido bonito,CHOISIT,CHOISIS,CHOISISSONS,CHOISISSENT
A2,descendre,descer,Passé composé,Nous ................ par l'escalier,Nordis sommes descendus par l'escalier,Nós descemos pelas escadas,SOMMES DESCENDUS,AVONS DESCENDU,SERONS DESCENDUS,SOMMES DESCENDU
A2,entendre,ouvir/escutar,Imparfait,Tu ................ ce bruit étrange ?,Tu entendais ce bruit étrange ?,Tu ouvias aquele barulho estranho?,ENTENDAIS,ENTENDAIT,ENTENDIS,ENTENDIONS
A2,perdre,perder,Passé composé,Ils ................ le match hier,Ils ont perdu le match hier,Eles perderam o jogo ontem,ONT PERDU,SONT PERDUS,ONT PERDÉ,AVAIENT PERDU
A2,répondre,responder,Futur,Je ................ à ton message demain,Je répondrai à ton message demain,Eu responderei à tua mensagem amanhã,RÉPONDRAI,RÉPONDRAIS,RÉPONDRA,RÉPONDRE
B1,découvrir,descobrir,Passé composé,Les scientifiques ................ un remède,Les scientifiques ont découvert un remède,Os cientistas descobriram uma cura,ONT DÉCOUVERT,SONT DÉCOUVERTS,ONT DÉCOUVRÉ,AVAIENT DÉCOUVERT
B1,promettre,prometer,Conditionnel,Tu as dit que tu ................ de changer,Tu as dit que tu promettrais de changer,Tu disseste que prometerias mudar,PROMETTRAIS,PROMETTRAS,PROMETTAIS,PROMETTRAIT
B1,reconnaître,reconhecer,Imparfait,Nous ne ................ plus notre quartier,Nous ne reconnaissions plus notre quartier,Nós já não reconhecíamos o nosso bairro,RECONNAISSIONS,RECONNAISSONS,RECONNAÎTRIONS,RECONNAISSAIENT
B1,craindre,temer,Subjonctif,Il faut que tu ................ les conséquences,Il faut que tu craignes les conséquences,É preciso que temas as consequências,CRAIGNES,CRAINDS,CRAIGNAIS,CRAINDRAIS
B1,retenir,reter/lembrar,Passé composé,Elle ................ la leçon par cœur,Elle a retenu la leçon par cœur,Ela reteve/decorou a lição de cor,A RETENU,EST RETENUE,A RETENÉ,A RETENAIT
B2,interdire,proibir,Présent,Vous ................ l'accès au public ?,Vous interdisez l'accès au public ?,Os senhores proíbem o acesso ao público?,INTERDISEZ,INTERDITES,INTERDIREZ,INTERDISENT
B2,se plaindre,queixar-se,Présent,Ils ................ toujours du mauvais temps,Ils se plaignent toujours du mauvais temps,Eles queixam-se sempre do mau tempo,SE PLAIGNENT,SE PLAINDENT,SE PLAIGNAIENT,SE PLAINDRAIENT
B2,éteindre,apagar/desligar,Passé composé,J'................ les lumières avant de partir,J'ai éteint les lumières avant de partir,Eu desliguei as luzes antes de ir embora,AI ÉTEINT,AI ÉTEINDU,SUIS ÉTEINT,AI ÉTEIGNAIS
B2,parvenir,conseguir/alcançar,Passé composé,Nous ................ à le convaincre,Nous sommes parvenus à le convaincre,Nós conseguimos convencê-lo,SOMMES PARVENUS,AVONS PARVENU,SERONS PARVENUS,SOMMES PARVENU
B2,exclure,excluir,Subjonctif,Bien qu'on ................ cette hypothèse,Bien qu'on exclue cette hypothèse,Embora se exclua esta hipótese,EXCLUE,EXCLUT,EXCLUAIT,EXCLURA
B2,apercevoir,avistar/notar,Imparfait,De loin, tu ................ la montagne,De loin, tu apercevais la montagne,De longe, tu avistavas a montanha,APERCEVAIS,APERCEVAIT,APERÇOIS,APERCEVIONS
C1,subvenir,prover/sustentar,Futur,L'État ................ aux besoins urgents,L'État subviendra aux besoins urgents,O Estado proverá às necessidades urgentes,SUBVIENDRA,SUBVENIRA,SUBVIENDRAIT,SUBVIENT
C1,enfreindre,infringir,Passé composé,Ils ................ les règles de sécurité,Ils ont enfreint les règles de segurança,Eles infringiram as regras de segurança,ONT ENFREINT,SONT ENFREINTS,ONT ENFREINDÉ,AVAIENT ENFREINT
C1,compromettre,comprometer,Subjonctif,Il ne faut pas que vous ................ votre santé,Il ne faut pas que vous compromettiez votre saúde,Não deve comprometer a sua saúde,COMPROMETTIEZ,COMPROMETTEZ,COMPROMETTREZ,COMPROMETTIEZ-VOUS
C1,survenir,sobrevir/acontecer,Conditionnel,Si un problème ................ \, prévenez-moi,Si un problème survenait, prévenez-moi,Se surgisse um problema, avise-me,SURVENAIT,SURVIENDRAIT,SURVIENT,SURVENU
C1,dissoudre,dissolver,Passé composé,Le parlement ................ hier,Le parlement a été dissous hier,O parlamento foi dissolvido ontem,A ÉTÉ DISSOUS,A DISSOLU,A ÉTÉ DISSOLT,EST DISSOUS
C1,conclure,concluir,Futur,Nous ................ ce projet le mois prochain,Nous conclurons ce projet le mois prochain,Concluiremos este projeto no próximo mês,CONCLURONS,CONCLUERONS,CONCLUONS,CONCLURAIENT
C1,proscrire,proibir,Présent,Le règlement ................ l'usage des téléphones,Le règlement proscrit l'usage des téléphones,O regulamento proíbe o uso de telemóveis,PROSCRIT,PROSCRITTE,PROSCRIVAIT,PROSCRIRE
